id_tempo,ano,mes,trimestre,data_registo
1,1950.0,10.0,4.0,1950-10-10
2,1979.0,2.0,1.0,1979-02-02
3,1986.0,7.0,3.0,1986-07-01
4,1991.0,8.0,3.0,1991-08-02
5,1995.0,1.0,1.0,1995-01-31
6,1995.0,9.0,3.0,1995-09-28
7,1998.0,5.0,2.0,1998-05-29
8,2002.0,3.0,1.0,2002-03-25
9,2002.0,7.0,3.0,2002-07-03
10,2003.0,3.0,1.0,2003-03-13
11,2003.0,4.0,2.0,2003-04-09
12,2003.0,7.0,3.0,2003-07-24
13,2005.0,8.0,3.0,2005-08-18
14,2005.0,12.0,4.0,2005-12-21
15,2006.0,2.0,1.0,2006-02-08
16,2006.0,7.0,3.0,2006-07-21
17,2006.0,8.0,3.0,2006-08-24
18,2007.0,4.0,2.0,2007-04-20
19,2007.0,5.0,2.0,2007-05-11
20,2007.0,11.0,4.0,2007-11-25
21,2007.0,12.0,4.0,2007-12-07
22,2008.0,6.0,2.0,2008-06-18
23,2008.0,7.0,3.0,2008-07-14
24,2008.0,7.0,3.0,2008-07-16
25,2008.0,7.0,3.0,2008-07-31
26,2008.0,12.0,4.0,2008-12-17
27,2009.0,1.0,1.0,2009-01-01
28,2009.0,1.0,1.0,2009-01-09
29,2009.0,1.0,1.0,2009-01-22
30,2009.0,1.0,1.0,2009-01-23
31,2009.0,1.0,1.0,2009-01-29
32,2009.0,2.0,1.0,2009-02-06
33,2009.0,2.0,1.0,2009-02-16
34,2009.0,3.0,1.0,2009-03-24
35,2009.0,4.0,2.0,2009-04-07
36,2009.0,5.0,2.0,2009-05-13
37,2009.0,5.0,2.0,2009-05-15
38,2009.0,5.0,2.0,2009-05-19
39,2009.0,6.0,2.0,2009-06-03
40,2009.0,6.0,2.0,2009-06-05
41,2009.0,6.0,2.0,2009-06-17
42,2009.0,6.0,2.0,2009-06-23
43,2009.0,6.0,2.0,2009-06-24
44,2009.0,6.0,2.0,2009-06-25
45,2009.0,6.0,2.0,2009-06-30
46,2009.0,7.0,3.0,2009-07-01
47,2009.0,8.0,3.0,2009-08-18
48,2009.0,9.0,3.0,2009-09-01
49,2009.0,9.0,3.0,2009-09-11
50,2009.0,10.0,4.0,2009-10-27
51,2009.0,11.0,4.0,2009-11-02
52,2009.0,11.0,4.0,2009-11-03
53,2009.0,11.0,4.0,2009-11-10
54,2009.0,12.0,4.0,2009-12-03
55,2010.0,1.0,1.0,2010-01-12
56,2010.0,1.0,1.0,2010-01-27
57,2010.0,1.0,1.0,2010-01-28
58,2010.0,2.0,1.0,2010-02-08
59,2010.0,2.0,1.0,2010-02-17
60,2010.0,2.0,1.0,2010-02-22
61,2010.0,3.0,1.0,2010-03-03
62,2010.0,3.0,1.0,2010-03-24
63,2010.0,3.0,1.0,2010-03-25
64,2010.0,4.0,2.0,2010-04-06
65,2010.0,4.0,2.0,2010-04-14
66,2010.0,4.0,2.0,2010-04-20
67,2010.0,4.0,2.0,2010-04-22
68,2010.0,5.0,2.0,2010-05-04
69,2010.0,5.0,2.0,2010-05-18
70,2010.0,5.0,2.0,2010-05-21
71,2010.0,5.0,2.0,2010-05-24
72,2010.0,5.0,2.0,2010-05-25
73,2010.0,6.0,2.0,2010-06-07
74,2010.0,6.0,2.0,2010-06-21
75,2010.0,7.0,3.0,2010-07-12
76,2010.0,7.0,3.0,2010-07-13
77,2010.0,7.0,3.0,2010-07-14
