X,Y,OBJECTID,NrRNAL,Denominacao,DataRegisto,DataAberturaPublico,Modalidade,NrUtentes,Email,Endereco,CodigoPostal,LOCALIDADE,LatLong,FiabilidadeGeo,DTMNFR,Freguesia,Concelho,Distrito,NUTSIII,NUTSII,ERT,SeloCleanSafe
-871301.884599999,4448274.2007,1,1,Figo,2014/12/03 09:47:03+00,2014/12/03 00:00:00+00,Apartamento,4,info@cochichosfarm.com,Zona R/c Cx. P.430Z R/c ,8700-206,Igreja,"37,0657410006129 ; -7,82703800016578",NaoFiavel,081005,Quelfes,Olhão,Faro,Algarve,Algarve,Região de Turismo do Algarve,Não
-873243.519099999,4447906.325,2,2,Casa Esperança,2013/07/30 00:00:00+00,2013/07/30 00:00:00+00,Moradia,4,ana-kaisa_herlevi@kirkkonummi.fi,Zona Poço Longo C.P.551-Z  ,8700-226,Poço Longo,"37,0631040005519 ; -7,84447999958415",NaoFiavel,081005,Quelfes,Olhão,Faro,Algarve,Algarve,Região de Turismo do Algarve,Não
-851399.3893,4456996.3119,3,3,Maria da Conceição Machado Rodrigues,2014/11/27 08:39:27+00,2014/12/05 00:00:00+00,Apartamento,4,mariacmachado3@gmail.com,Rua Álvares Botelho 27 2 ,8800-319,Tavira,"37,1282358204969 ; -7,64825084271288",NaoFiavel,081412,União das freguesias de Tavira (Santa Maria e Santiago),Tavira,Faro,Algarve,Algarve,Região de Turismo do Algarve,Não
-828737.728799999,4896032.3469,4,4,Bio-Turismo Casa da Eira,2014/08/06 00:00:00+00,2014/08/06 00:00:00+00,Apartamento,23,geral@casadaeira.org,Rua Olivais   ,6230-569,Pêro Viseu,"40,2067505368476 ; -7,44467768336503",NaoFiavel,050421,Pêro Viseu,Fundão,Castelo Branco,Beiras e Serra da Estrela,Centro,Turismo do Centro de Portugal,Não
-995600.0418,4440551.5702,5,5,Casa Jesus,2009/08/18 00:00:00+00,2009/08/18 00:00:00+00,Apartamento,4,mariaprjesus@gmail.com,Estrada Nacional 268   ,8650-355,Sagres,"37,0103645489463 ; -8,94362734418431",NaoFiavel,081504,Sagres,Vila do Bispo,Faro,Algarve,Algarve,Região de Turismo do Algarve,Não
-871301.884599999,4448274.2007,7,7,Rolf Josef Durnholz,2014/11/27 12:19:34+00,2014/11/27 00:00:00+00,Moradia,4,mv.sonne@gmail.com,Campo Caminho Particular cxp.857-Z r/c ,8700-206,Boavista,"37,0657410006129 ; -7,82703800016578",NaoFiavel,081005,Quelfes,Olhão,Faro,Algarve,Algarve,Região de Turismo do Algarve,Não
-985441.543299999,4482372.7173,8,8,"Casa AShleen, M 103",2010/02/08 00:00:00+00,2010/02/08 00:00:00+00,Moradia,8,aidan56@hotmail.com,Urbanização Vale daTelha sector M lote 103   ,8670-156,Aljezur,"37,3097670011646 ; -8,85237199958253",NaoFiavel,080301,Aljezur,Aljezur,Faro,Algarve,Algarve,Região de Turismo do Algarve,Não
-1017908.2065,4681150.6484,9,10,Lisbon Inn / Glória 8,2014/11/28 19:56:34+00,2014/11/28 00:00:00+00,Apartamento,6,jduran@lisboninn.pt,Rua Santo António da Glória 1 1º ,1250-214,Lisboa,"38,7165493686362 ; -9,14402499704035",Fiavel,110666,Santo António,Lisboa,Lisboa,Grande Lisboa,Grande Lisboa,Entidade Regional de Turismo da Região de Lisboa,Não
-1016721.0087,4681202.3052,10,11,Casa das Olarias,2014/11/29 17:12:13+00,2014/11/30 00:00:00+00,Apartamento,3,casadasolarias@gmail.com,1º Largo Largo das Olarias 56 R/C Porta 22,1100-376,Lisboa,"38,7169114358504 ; -9,13336021821926",Fiavel,110665,Santa Maria Maior,Lisboa,Lisboa,Grande Lisboa,Grande Lisboa,Entidade Regional de Turismo da Região de Lisboa,Sim
-834634.774099998,4895144.2817,11,12,O Mário,2013/11/21 00:00:00+00,2013/11/21 00:00:00+00,Moradia,10,restauranteomario.1970@gmail.com,Estrada Nacional 18 42/44  ,6230-024,Cruzamento de Alcaria,"40,2006575910131 ; -7,49765174263999",NaoFiavel,050402,Alcaria,Fundão,Castelo Branco,Beiras e Serra da Estrela,Centro,Turismo do Centro de Portugal,Não
