id_tempo,id_regiao,id_modalidade,num_alojamentos,total_utentes
1,70,1,4,14
1,70,5,1,17
2,6,3,2,21
3,73,3,1,8
4,6,3,1,34
5,230,1,1,20
6,33,2,1,4
6,33,5,1,28
6,126,3,1,20
7,12,1,3,16
7,12,2,7,42
7,12,3,1,12
7,29,1,1,2
7,29,2,1,10
7,29,3,3,83
7,73,3,1,10
7,78,2,4,63
7,144,2,2,5
7,144,3,2,15
8,70,1,1,6
9,40,3,1,0
10,29,2,1,4
11,6,3,2,93
11,12,1,1,2
11,207,3,1,23
12,27,2,1,10
12,114,2,2,54
13,24,2,1,8
13,217,3,1,12
14,217,3,1,24
15,12,1,1,6
15,13,3,1,17
15,27,1,1,3
15,27,3,1,24
15,256,1,1,22
16,12,1,4,22
16,17,2,1,4
16,27,1,1,6
16,27,2,3,16
17,12,1,1,2
17,27,1,20,68
17,28,3,1,9
17,126,2,1,3
18,12,1,3,8
18,27,1,9,34
18,27,3,1,30
19,5,3,1,24
19,27,1,3,13
19,27,2,4,25
19,75,3,1,24
20,12,1,1,4
20,27,1,4,26
20,27,2,3,19
20,94,5,1,38
20,139,3,1,97
20,202,3,1,21
21,51,3,1,35
22,73,1,1,16
22,114,3,1,10
23,24,1,1,6
23,27,2,3,14
23,140,3,2,158
24,17,3,1,6
24,24,2,1,7
24,27,1,1,4
24,27,2,3,22
24,101,2,1,6
24,256,1,1,18
25,12,1,1,4
25,17,1,1,4
25,27,1,5,14
25,122,3,2,29
26,12,1,3,10
26,17,1,1,6
26,27,1,2,5
26,27,2,1,4
26,36,3,1,18
26,56,1,2,6
26,63,2,1,36
26,114,2,1,18
27,12,1,1,2
27,12,2,1,8
27,27,1,4,12
27,27,2,2,8
27,40,1,1,3
27,154,3,1,27
28,12,2,1,6
28,24,1,1,2
28,27,1,5,16
28,27,2,1,6
28,40,2,1,8
28,44,3,1,40
28,70,1,1,7
28,75,3,1,84
28,114,3,1,21
28,139,3,1,31
28,217,3,1,30
29,5,3,1,28
29,12,1,1,4
29,27,1,1,2
29,27,2,4,24
29,46,2,1,6
29,165,2,1,12
29,241,3,1,44
30,6,1,1,5
30,12,1,5,16
30,27,1,1,4
30,40,3,1,42
30,73,1,1,6
31,12,1,5,18
31,12,2,1,6
31,17,2,1,6
31,25,3,1,8
31,27,1,6,20
31,27,2,2,14
31,29,2,2,20
31,71,3,1,6
31,114,2,1,28
31,183,3,1,55
32,12,1,5,16
32,12,2,1,6
32,27,1,6,17
32,27,2,2,20
32,29,3,1,9
32,60,3,1,30
32,124,3,1,16
33,12,1,2,5
33,12,2,2,16
33,17,2,1,8
33,24,2,1,6
33,25,3,1,86
33,27,1,15,62
33,27,2,3,20
33,120,3,1,43
33,139,3,1,52
33,165,3,1,14
33,167,3,1,21
33,173,2,1,21
34,12,1,6,20
34,12,3,1,20
34,27,1,12,50
34,27,2,5,29
34,56,2,1,7
34,103,2,1,8
34,114,3,1,31
34,176,3,1,30
34,196,3,1,31
35,12,1,5,18
35,12,2,1,10
35,17,1,1,4
35,24,1,1,4
35,27,1,9,24
35,27,2,5,21
35,140,3,1,28
35,171,3,1,0
35,176,3,1,64
36,5,3,1,30
36,12,1,7,18
36,12,2,1,6
36,21,2,1,7
36,27,1,5,18
