Municipio,NUTS I,NUTS II,NUTS III,mes,ano,nr_dormidas
Alandroal,Continente,Alentejo,Alentejo Central,Janeiro,2014,220
Alandroal,Continente,Alentejo,Alentejo Central,Fevereiro,2014,251
Alandroal,Continente,Alentejo,Alentejo Central,Março,2014,399
Alandroal,Continente,Alentejo,Alentejo Central,Abril,2014,672
Alandroal,Continente,Alentejo,Alentejo Central,Maio,2014,629
Alandroal,Continente,Alentejo,Alentejo Central,Junho,2014,751
Alandroal,Continente,Alentejo,Alentejo Central,Julho,2014,924
Alandroal,Continente,Alentejo,Alentejo Central,Agosto,2014,1717
Alandroal,Continente,Alentejo,Alentejo Central,Setembro,2014,914
Alandroal,Continente,Alentejo,Alentejo Central,Outubro,2014,565
Alandroal,Continente,Alentejo,Alentejo Central,Novembro,2014,373
Alandroal,Continente,Alentejo,Alentejo Central,Dezembro,2014,383
Alandroal,Continente,Alentejo,Alentejo Central,Janeiro,2015,265
Alandroal,Continente,Alentejo,Alentejo Central,Fevereiro,2015,329
Alandroal,Continente,Alentejo,Alentejo Central,Março,2015,451
Alandroal,Continente,Alentejo,Alentejo Central,Abril,2015,645
Alandroal,Continente,Alentejo,Alentejo Central,Maio,2015,728
Alandroal,Continente,Alentejo,Alentejo Central,Junho,2015,890
Alandroal,Continente,Alentejo,Alentejo Central,Julho,2015,1135
Alandroal,Continente,Alentejo,Alentejo Central,Agosto,2015,2023
Alandroal,Continente,Alentejo,Alentejo Central,Setembro,2015,1062
Alandroal,Continente,Alentejo,Alentejo Central,Outubro,2015,626
Alandroal,Continente,Alentejo,Alentejo Central,Novembro,2015,432
Alandroal,Continente,Alentejo,Alentejo Central,Dezembro,2015,439
Alandroal,Continente,Alentejo,Alentejo Central,Janeiro,2016,288
Alandroal,Continente,Alentejo,Alentejo Central,Fevereiro,2016,380
Alandroal,Continente,Alentejo,Alentejo Central,Março,2016,559
Alandroal,Continente,Alentejo,Alentejo Central,Abril,2016,682
