regiao_codigo,regiao_nome,dormidas,ano,origem
,PT: Portugal,80354833.0,2024,Total
1,Continente,67774740.0,2024,Total
11,Norte,14104757.0,2024,Total
111,Alto Minho,985240.0,2024,Total
1111601,Arcos de Valdevez,103627.0,2024,Total
1111602,Caminha,121180.0,2024,Total
1111603,Melgaço,49111.0,2024,Total
1111604,Monção,47634.0,2024,Total
1111605,Paredes de Coura,10215.0,2024,Total
1111606,Ponte da Barca,37233.0,2024,Total
1111607,Ponte de Lima,120813.0,2024,Total
1111608,Valença,68819.0,2024,Total
1111609,Viana do Castelo,356111.0,2024,Total
1111610,Vila Nova de Cerveira,70497.0,2024,Total
112,Cávado,1167899.0,2024,Total
1120301,Amares,45021.0,2024,Total
1120302,Barcelos,74022.0,2024,Total
1120303,Braga,678666.0,2024,Total
1120306,Esposende,181603.0,2024,Total
1120310,Terras de Bouro,151398.0,2024,Total
1120313,Vila Verde,37189.0,2024,Total
119,Ave,674977.0,2024,Total
1190304,Cabeceiras de Basto,21786.0,2024,Total
1190307,Fafe,34121.0,2024,Total
1190308,Guimarães,384984.0,2024,Total
1191705,Mondim de Basto,58389.0,2024,Total
1190309,Póvoa de Lanhoso,19726.0,2024,Total
1190311,Vieira do Minho,60625.0,2024,Total
1190312,Vila Nova de Famalicão,67564.0,2024,Total
1190314,Vizela,27782.0,2024,Total
,11A: Área Metropolitana do Porto,9514850.0,2024,Total
,11A0104: Arouca,38285.0,2024,Total
,11A0107: Espinho,147270.0,2024,Total
,11A1304: Gondomar,106503.0,2024,Total
,11A1306: Maia,328770.0,2024,Total
,11A1308: Matosinhos,628805.0,2024,Total
,11A0113: Oliveira de Azeméis,36678.0,2024,Total
,11A1310: Paredes,74842.0,2024,Total
,11A1312: Porto,6279499.0,2024,Total
,11A1313: Póvoa de Varzim,286112.0,2024,Total
,11A0109: Santa Maria da Feira,125253.0,2024,Total
,11A1314: Santo Tirso,90227.0,2024,Total
,11A0116: São João da Madeira,46287.0,2024,Total
,11A1318: Trofa,17456.0,2024,Total
,11A0119: Vale de Cambra,13607.0,2024,Total
,11A1315: Valongo,93567.0,2024,Total
,11A1316: Vila do Conde,129971.0,2024,Total
,11A1317: Vila Nova de Gaia,1071718.0,2024,Total
,11B: Alto Tâmega,338972.0,2024,Total
,11B1702: Boticas,14489.0,2024,Total
,11B1703: Chaves,217665.0,2024,Total
,11B1706: Montalegre,22880.0,2024,Total
,11B1709: Ribeira de Pena,44269.0,2024,Total
,11B1712: Valpaços,9265.0,2024,Total
,11B1713: Vila Pouca de Aguiar,30404.0,2024,Total
,11C: Tâmega e Sousa,487280.0,2024,Total
,11C1301: Amarante,86334.0,2024,Total
,11C1302: Baião,70234.0,2024,Total
,11C0106: Castelo de Paiva,41349.0,2024,Total
,11C0305: Celorico de Basto,30427.0,2024,Total
,11C1804: Cinfães,23057.0,2024,Total
,11C1303: Felgueiras,33272.0,2024,Total
,11C1305: Lousada,41958.0,2024,Total
,11C1307: Marco de Canaveses,26846.0,2024,Total
,11C1309: Paços de Ferreira,24102.0,2024,Total
,11C1311: Penafiel,88094.0,2024,Total
,11C1813: Resende,21607.0,2024,Total
,11D: Douro,649721.0,2024,Total
,11D1701: Alijó,55650.0,2024,Total
,11D1801: Armamar,41480.0,2024,Total
,11D0403: Carrazeda de Ansiães,12125.0,2024,Total
,11D0404: Freixo de Espada à Cinta,21940.0,2024,Total
,11D1805: Lamego,171234.0,2024,Total
,11D1704: Mesão Frio,31659.0,2024,Total
,11D1807: Moimenta da Beira,5042.0,2024,Total
,11D1707: Murça,2964.0,2024,Total
,11D1812: Penedono,1397.0,2024,Total
,11D1708: Peso da Régua,72604.0,2024,Total
,11D1710: Sabrosa,36124.0,2024,Total
,11D1711: Santa Marta de Penaguião,9135.0,2024,Total
,11D1815: São João da Pesqueira,16457.0,2024,Total
,11D1818: Sernancelhe,15532.0,2024,Total
,11D1819: Tabuaço,25779.0,2024,Total
,11D1820: Tarouca,18481.0,2024,Total
,11D0409: Torre de Moncorvo,14933.0,2024,Total
,11D0914: Vila Nova de Foz Côa,15484.0,2024,Total
,11D1714: Vila Real,81701.0,2024,Total
,11E: Terras de Trás-os-Montes,285818.0,2024,Total
,11E0401: Alfândega da Fé,13229.0,2024,Total
,11E0402: Bragança,136391.0,2024,Total
,11E0405: Macedo de Cavaleiros,17834.0,2024,Total
,11E0406: Miranda do Douro,33157.0,2024,Total
,11E0407: Mirandela,51656.0,2024,Total
,11E0408: Mogadouro,11928.0,2024,Total
,11E0410: Vila Flor,7030.0,2024,Total
,11E0411: Vimioso,3815.0,2024,Total
,11E0412: Vinhais,10778.0,2024,Total
16,Centro,8367361.0,2024,Total
,16B: Oeste,1593554.0,2024,Total
,16B1001: Alcobaça,128364.0,2024,Total
,16B1101: Alenquer,24629.0,2024,Total
,16B1102: Arruda dos Vinhos,7750.0,2024,Total
,16B1005: Bombarral,21710.0,2024,Total
,16B1104: Cadaval,8988.0,2024,Total
,16B1006: Caldas da Rainha,206500.0,2024,Total
,16B1108: Lourinhã,75720.0,2024,Total
,16B1011: Nazaré,267001.0,2024,Total
,16B1012: Óbidos,305798.0,2024,Total
,16B1014: Peniche,251958.0,2024,Total
,16B1112: Sobral de Monte Agraço,1834.0,2024,Total
,16B1113: Torres Vedras,293302.0,2024,Total
,16D: Região de Aveiro,938142.0,2024,Total
,16D0101: Águeda,68830.0,2024,Total
,16D0102: Albergaria-a-Velha,23984.0,2024,Total
,16D0103: Anadia,81794.0,2024,Total
,16D0105: Aveiro,453431.0,2024,Total
,16D0108: Estarreja,22670.0,2024,Total
,16D0110: Ílhavo,103569.0,2024,Total
,16D0112: Murtosa,21182.0,2024,Total
,16D0114: Oliveira do Bairro,12106.0,2024,Total
,16D0115: Ovar,109963.0,2024,Total
,16D0117: Sever do Vouga,14524.0,2024,Total
,16D0118: Vagos,26089.0,2024,Total
,16E: Região de Coimbra,1661565.0,2024,Total
,16E0601: Arganil,29023.0,2024,Total
,16E0602: Cantanhede,37044.0,2024,Total
,16E0603: Coimbra,708604.0,2024,Total
,16E0604: Condeixa-a-Nova,18016.0,2024,Total
,16E0605: Figueira da Foz,363123.0,2024,Total
,16E0606: Góis,12453.0,2024,Total
,16E0607: Lousã,41222.0,2024,Total
,16E0111: Mealhada,115030.0,2024,Total
,16E0608: Mira,68308.0,2024,Total
,16E0609: Miranda do Corvo,24444.0,2024,Total
,16E0610: Montemor-o-Velho,10969.0,2024,Total
,16E1808: Mortágua,66335.0,2024,Total
,16E0611: Oliveira do Hospital,42399.0,2024,Total
,16E0612: Pampilhosa da Serra,8748.0,2024,Total
,16E0613: Penacova,15888.0,2024,Total
,16E0614: Penela,25617.0,2024,Total
,16E0615: Soure,24333.0,2024,Total
,16E0616: Tábua,46061.0,2024,Total
,16E0617: Vila Nova de Poiares,3948.0,2024,Total
,16F: Região de Leiria,649418.0,2024,Total
,16F1002: Alvaiázere,6022.0,2024,Total
,16F1003: Ansião,12194.0,2024,Total
,16F1004: Batalha,63329.0,2024,Total
,16F1007: Castanheira de Pêra,7296.0,2024,Total
,16F1008: Figueiró dos Vinhos,11817.0,2024,Total
,16F1009: Leiria,335446.0,2024,Total
,16F1010: Marinha Grande,125970.0,2024,Total
