Ano,Municipio,NUTS I,NUTS II,NUTS III,Nr_populacao
2014,Alandroal,Continente,Alentejo,Alentejo Central,5467
2014,Arraiolos,Continente,Alentejo,Alentejo Central,6952
2014,Borba,Continente,Alentejo,Alentejo Central,6964
2014,Estremoz,Continente,Alentejo,Alentejo Central,13483
2014,Montemor-o-Novo,Continente,Alentejo,Alentejo Central,16673
2014,Mora,Continente,Alentejo,Alentejo Central,4711
2014,Mourão,Continente,Alentejo,Alentejo Central,2547
2014,Portel,Continente,Alentejo,Alentejo Central,6036
2014,Redondo,Continente,Alentejo,Alentejo Central,6732
2014,Reguengos de Monsaraz,Continente,Alentejo,Alentejo Central,10394
2014,Vendas Novas,Continente,Alentejo,Alentejo Central,11595
2014,Viana do Alentejo,Continente,Alentejo,Alentejo Central,5632
2014,Vila Viçosa,Continente,Alentejo,Alentejo Central,7958
2014,Évora,Continente,Alentejo,Alentejo Central,55416
2014,Alcácer do Sal,Continente,Alentejo,Alentejo Litoral,12177
2014,Grândola,Continente,Alentejo,Alentejo Litoral,14295
2014,Odemira,Continente,Alentejo,Alentejo Litoral,26073
2014,Santiago do Cacém,Continente,Alentejo,Alentejo Litoral,28754
2014,Sines,Continente,Alentejo,Alentejo Litoral,14311
2014,Alter do Chão,Continente,Alentejo,Alto Alentejo,3413
2014,Arronches,Continente,Alentejo,Alto Alentejo,3083
2014,Avis,Continente,Alentejo,Alto Alentejo,4205
2014,Campo Maior,Continente,Alentejo,Alto Alentejo,8326
2014,Castelo de Vide,Continente,Alentejo,Alto Alentejo,3356
2014,Crato,Continente,Alentejo,Alto Alentejo,3580
2014,Elvas,Continente,Alentejo,Alto Alentejo,22150
2014,Fronteira,Continente,Alentejo,Alto Alentejo,3229
2014,Gavião,Continente,Alentejo,Alto Alentejo,3841
2014,Marvão,Continente,Alentejo,Alto Alentejo,3326
2014,Monforte,Continente,Alentejo,Alto Alentejo,3185
2014,Nisa,Continente,Alentejo,Alto Alentejo,6841
2014,Ponte de Sor,Continente,Alentejo,Alto Alentejo,16025
2014,Portalegre,Continente,Alentejo,Alto Alentejo,23823
2014,Sousel,Continente,Alentejo,Alto Alentejo,4740
2014,Aljustrel,Continente,Alentejo,Baixo Alentejo,9058
2014,Almodôvar,Continente,Alentejo,Baixo Alentejo,7136
2014,Alvito,Continente,Alentejo,Baixo Alentejo,2447
2014,Barrancos,Continente,Alentejo,Baixo Alentejo,1713
2014,Beja,Continente,Alentejo,Baixo Alentejo,35067
2014,Castro Verde,Continente,Alentejo,Baixo Alentejo,7192
2014,Cuba,Continente,Alentejo,Baixo Alentejo,4755
2014,Ferreira do Alentejo,Continente,Alentejo,Baixo Alentejo,7937
2014,Moura,Continente,Alentejo,Baixo Alentejo,14303
2014,Mértola,Continente,Alentejo,Baixo Alentejo,6665
2014,Ourique,Continente,Alentejo,Baixo Alentejo,5188
2014,Serpa,Continente,Alentejo,Baixo Alentejo,14739
2014,Vidigueira,Continente,Alentejo,Baixo Alentejo,5581
2014,Almeirim,Continente,Alentejo,Lezíria do Tejo,22820
2014,Alpiarça,Continente,Alentejo,Lezíria do Tejo,7350
2014,Azambuja,Continente,Alentejo,Lezíria do Tejo,21441
2014,Benavente,Continente,Alentejo,Lezíria do Tejo,28972
2014,Cartaxo,Continente,Alentejo,Lezíria do Tejo,23799
2014,Chamusca,Continente,Alentejo,Lezíria do Tejo,9333
2014,Coruche,Continente,Alentejo,Lezíria do Tejo,18827
2014,Golegã,Continente,Alentejo,Lezíria do Tejo,5730
2014,Rio Maior,Continente,Alentejo,Lezíria do Tejo,20918
2014,Salvaterra de Magos,Continente,Alentejo,Lezíria do Tejo,21807
2014,Santarém,Continente,Alentejo,Lezíria do Tejo,60107
2014,Albufeira,Continente,Algarve,Algarve,41663
2014,Alcoutim,Continente,Algarve,Algarve,2758
2014,Aljezur,Continente,Algarve,Algarve,5653
2014,Castro Marim,Continente,Algarve,Algarve,6525
2014,Faro,Continente,Algarve,Algarve,65751
2014,Lagoa,Continente,Algarve,Algarve,22742
2014,Lagos,Continente,Algarve,Algarve,31191
2014,Loulé,Continente,Algarve,Algarve,69748
2014,Monchique,Continente,Algarve,Algarve,5658
2014,Olhão,Continente,Algarve,Algarve,44395
2014,Portimão,Continente,Algarve,Algarve,56548
2014,Silves,Continente,Algarve,Algarve,36422
2014,São Brás de Alportel,Continente,Algarve,Algarve,10731
2014,Tavira,Continente,Algarve,Algarve,26162
2014,Vila Real de Santo António,Continente,Algarve,Algarve,18752
2014,Vila do Bispo,Continente,Algarve,Algarve,5266
2014,Castelo Branco,Continente,Centro,Beira Baixa,54439
2014,Idanha-a-Nova,Continente,Centro,Beira Baixa,9067
2014,Oleiros,Continente,Centro,Beira Baixa,5238
2014,Penamacor,Continente,Centro,Beira Baixa,5136
2014,Proença-a-Nova,Continente,Centro,Beira Baixa,7744
2014,Vila Velha de Ródão,Continente,Centro,Beira Baixa,3363
2014,Almeida,Continente,Centro,Beiras e Serra da Estrela,6757
2014,Belmonte,Continente,Centro,Beiras e Serra da Estrela,6520
2014,Celorico da Beira,Continente,Centro,Beiras e Serra da Estrela,7175
2014,Covilhã,Continente,Centro,Beiras e Serra da Estrela,49399
2014,Figueira de Castelo Rodrigo,Continente,Centro,Beiras e Serra da Estrela,5877
2014,Fornos de Algodres,Continente,Centro,Beiras e Serra da Estrela,4858
2014,Fundão,Continente,Centro,Beiras e Serra da Estrela,27698
2014,Gouveia,Continente,Centro,Beiras e Serra da Estrela,13280
2014,Guarda,Continente,Centro,Beiras e Serra da Estrela,41675
2014,Manteigas,Continente,Centro,Beiras e Serra da Estrela,3243
2014,Mêda,Continente,Centro,Beiras e Serra da Estrela,4833
2014,Pinhel,Continente,Centro,Beiras e Serra da Estrela,8926
2014,Sabugal,Continente,Centro,Beiras e Serra da Estrela,12061
