Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84
Quadro extraído em 04 de Março de 2026 (23:46:34),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ine.pt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Localização geográfica (NUTS - 2013),Dormidas (N.º) nos estabelecimentos de alojamento turístico por Localização geográfica e Local de residência (País - lista reduzida); Anual (1) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Período de referência dos dados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2024,,,,,,2023,,,,,,2022,,,,,,2021,,,,,,2020,,,,,,2019,,,,,,2018,,,,,,2017,,,,,,2016,,,,,,2015,,,,,,2014,,,,,,2013,,,,,,2012,,,,,,2011,,,,,
,Local de residência (País - lista reduzida),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,T: Total,,PT: Portugal,,E: Estrangeiro,,T: Total,,PT: Portugal,,E: Estrangeiro,,T: Total,,PT: Portugal,,E: Estrangeiro,,T: Total,,PT: Portugal,,E: Estrangeiro,,T: Total,,PT: Portugal,,E: Estrangeiro,,T: Total,,PT: Portugal,,E: Estrangeiro,,T: Total,,PT: Portugal,,E: Estrangeiro,,T: Total,,PT: Portugal,,E: Estrangeiro,,T: Total,,PT: Portugal,,E: Estrangeiro,,T: Total,,PT: Portugal,,E: Estrangeiro,,T: Total,,PT: Portugal,,E: Estrangeiro,,T: Total,,PT: Portugal,,E: Estrangeiro,,T: Total,,PT: Portugal,,E: Estrangeiro,,T: Total,,PT: Portugal,,E: Estrangeiro,
,N.º ,,N.º ,,N.º ,,N.º ,,N.º ,,N.º ,,N.º ,,N.º ,,N.º ,,N.º ,,N.º ,,N.º ,,N.º ,,N.º ,,N.º ,,N.º ,,N.º ,,N.º ,,N.º ,,N.º ,,N.º ,,N.º ,,N.º ,,N.º ,,N.º ,,N.º ,,N.º ,,N.º ,,N.º ,,N.º ,,N.º ,,N.º ,,N.º ,,N.º ,,N.º ,,N.º ,,N.º ,,N.º ,,N.º ,,N.º ,,N.º ,,N.º ,
PT: Portugal,80354833,,23841074,,56513759,,77179150,,23319057,,53860093,,69694791,,22888908,,46805883,,37332422,,18671762,,18660660,,25798299,,13598609,,12199690,,70158964,,21107132,,49051832,,67662103,,19889676,,47772427,,65385210,,18595681,,46789529,,59122640,,17351738,,41770902,,53074176,,16158369,,36915807,,48711366,,14939247,,33772119,,43533151,,13150991,,30382160,,39681040,,12424460,,27256580,,39440315,,13436555,,26003760,
1: Continente,67774740,,21389416,,46385324,,65192828,,20797233,,44395595,,58856227,,20322781,,38533446,,31480167,,16631592,,14848575,,22702387,,12608238,,10094149,,60423962,,19168369,,41255593,,57192011,,18056442,,39135569,,55162870,,16896338,,38266532,,49574211,,15803542,,33770669,,44709708,,14868159,,29841549,,41083957,,13822590,,27261367,,36214676,,12122665,,24092011,,33218615,,11442905,,21775710,,32841504,,12229398,,20612106,
